st,state,a_mean,tot_emp,a_median,occ_title,group,year
WA,Washington,67060.0,21480.0,52370,Legal occupations,major,2003
WA,Washington,38910.0,161390.0,35340,"Education, training, and library occupations",major,2003
WA,Washington,47360.0,37370.0,42170,"Arts, design, entertainment, sports, and media occupations",major,2003
WA,Washington,59720.0,121920.0,51460,Healthcare practitioners and technical occupations,major,2003
WA,Washington,25600.0,66600.0,23940,Healthcare support occupations,major,2003
WA,Washington,40080.0,51690.0,38840,Protective service occupations,major,2003
WA,Washington,19850.0,215550.0,17310,Food preparation and serving related occupations,major,2003
WA,Washington,23240.0,72430.0,21270,Building and grounds cleaning and maintenance occupations,major,2003
WA,Washington,24750.0,61380.0,18930,Personal care and service occupations,major,2003
WA,Washington,34580.0,285650.0,25930,Sales and related occupations,major,2003
WA,Washington,30630.0,440240.0,28840,Office and administrative support occupations,major,2003
WA,Washington,25580.0,12920.0,20930,"Farming, fishing, and forestry occupations",major,2003
WA,Washington,44620.0,131880.0,43290,Construction and extraction occupations,major,2003
WA,Washington,40180.0,106950.0,39200,"Installation, maintenance, and repair occupations",major,2003
WA,Washington,31630.0,148840.0,28450,Production occupations,major,2003
WA,Washington,30790.0,189070.0,27450,Transportation and material moving occupations,major,2003
WV,West Virginia,61130.0,34750.0,52390,Management occupations,major,2003
WV,West Virginia,43580.0,17240.0,39650,Business and financial operations occupations,major,2003
WV,West Virginia,46670.0,7650.0,44780,Computer and mathematical occupations,major,2003
WV,West Virginia,48420.0,9870.0,44610,Architecture and engineering occupations,major,2003
WV,West Virginia,45420.0,6920.0,41150,"Life, physical, and social science occupations",major,2003
WV,West Virginia,26270.0,9940.0,24450,Community and social services occupations,major,2003
WV,West Virginia,49230.0,5600.0,40160,Legal occupations,major,2003
WV,West Virginia,35980.0,38380.0,36870,"Education, training, and library occupations",major,2003
WV,West Virginia,30570.0,5860.0,23480,"Arts, design, entertainment, sports, and media occupations",major,2003
WV,West Virginia,46760.0,44270.0,36570,Healthcare practitioners and technical occupations,major,2003
WV,West Virginia,17890.0,20920.0,16840,Healthcare support occupations,major,2003
WV,West Virginia,25990.0,13400.0,24530,Protective service occupations,major,2003
WV,West Virginia,14700.0,59180.0,13640,Food preparation and serving related occupations,major,2003
WV,West Virginia,17750.0,22270.0,15990,Building and grounds cleaning and maintenance occupations,major,2003
WV,West Virginia,17030.0,15050.0,14760,Personal care and service occupations,major,2003
WV,West Virginia,22500.0,71960.0,16250,Sales and related occupations,major,2003
WV,West Virginia,23220.0,112840.0,21030,Office and administrative support occupations,major,2003
WV,West Virginia,22410.0,2480.0,21310,"Farming, fishing, and forestry occupations",major,2003
WV,West Virginia,32890.0,41770.0,29780,Construction and extraction occupations,major,2003
WV,West Virginia,32230.0,33880.0,29870,"Installation, maintenance, and repair occupations",major,2003
WV,West Virginia,29480.0,47790.0,26240,Production occupations,major,2003
WV,West Virginia,25020.0,59320.0,21550,Transportation and material moving occupations,major,2003
WI,Wisconsin,76730.0,109840.0,67630,Management occupations,major,2003
WI,Wisconsin,48840.0,90510.0,44970,Business and financial operations occupations,major,2003
WI,Wisconsin,57070.0,46520.0,54010,Computer and mathematical occupations,major,2003
WI,Wisconsin,54790.0,47810.0,51600,Architecture and engineering occupations,major,2003
WI,Wisconsin,46700.0,25460.0,41120,"Life, physical, and social science occupations",major,2003
WI,Wisconsin,34900.0,31800.0,32870,Community and social services occupations,major,2003
WI,Wisconsin,72110.0,12790.0,57340,Legal occupations,major,2003
WI,Wisconsin,39770.0,148740.0,36630,"Education, training, and library occupations",major,2003
WI,Wisconsin,35580.0,32150.0,30910,"Arts, design, entertainment, sports, and media occupations",major,2003
WI,Wisconsin,53460.0,127340.0,44660,Healthcare practitioners and technical occupations,major,2003
WI,Wisconsin,22950.0,81530.0,22070,Healthcare support occupations,major,2003
WI,Wisconsin,32430.0,47060.0,30440,Protective service occupations,major,2003
WI,Wisconsin,17090.0,222310.0,15810,Food preparation and serving related occupations,major,2003
WI,Wisconsin,21250.0,91530.0,19240,Building and grounds cleaning and maintenance occupations,major,2003
WI,Wisconsin,20770.0,64530.0,18490,Personal care and service occupations,major,2003
WI,Wisconsin,30160.0,262370.0,20580,Sales and related occupations,major,2003
WI,Wisconsin,27270.0,455720.0,25280,Office and administrative support occupations,major,2003
WI,Wisconsin,25510.0,3920.0,23780,"Farming, fishing, and forestry occupations",major,2003
WI,Wisconsin,40080.0,120400.0,38350,Construction and extraction occupations,major,2003
WI,Wisconsin,36310.0,103470.0,34920,"Installation, maintenance, and repair occupations",major,2003
WI,Wisconsin,30250.0,347010.0,28070,Production occupations,major,2003
WI,Wisconsin,27740.0,218570.0,25160,Transportation and material moving occupations,major,2003
WY,Wyoming,59870.0,13030.0,53560,Management occupations,major,2003
WY,Wyoming,43640.0,5810.0,40150,Business and financial operations occupations,major,2003
WY,Wyoming,42240.0,1870.0,38870,Computer and mathematical occupations,major,2003
WY,Wyoming,52240.0,3650.0,49760,Architecture and engineering occupations,major,2003
WY,Wyoming,40770.0,3560.0,38270,"Life, physical, and social science occupations",major,2003
WY,Wyoming,28410.0,3410.0,25840,Community and social services occupations,major,2003
WY,Wyoming,59090.0,1590.0,42040,Legal occupations,major,2003
WY,Wyoming,34320.0,15740.0,33670,"Education, training, and library occupations",major,2003
WY,Wyoming,26560.0,2260.0,21580,"Arts, design, entertainment, sports, and media occupations",major,2003
WY,Wyoming,50660.0,10490.0,41250,Healthcare practitioners and technical occupations,major,2003
WY,Wyoming,20440.0,5290.0,19290,Healthcare support occupations,major,2003
WY,Wyoming,32330.0,5470.0,31330,Protective service occupations,major,2003
WY,Wyoming,15420.0,23950.0,13970,Food preparation and serving related occupations,major,2003
WY,Wyoming,19130.0,10290.0,17350,Building and grounds cleaning and maintenance occupations,major,2003
WY,Wyoming,18350.0,5460.0,16260,Personal care and service occupations,major,2003
WY,Wyoming,24240.0,22710.0,17920,Sales and related occupations,major,2003
WY,Wyoming,23810.0,33840.0,21960,Office and administrative support occupations,major,2003
WY,Wyoming,28510.0,430.0,21990,"Farming, fishing, and forestry occupations",major,2003
WY,Wyoming,34210.0,22740.0,32290,Construction and extraction occupations,major,2003
WY,Wyoming,36810.0,14410.0,35340,"Installation, maintenance, and repair occupations",major,2003
WY,Wyoming,32230.0,12750.0,28340,Production occupations,major,2003
WY,Wyoming,31160.0,22120.0,27830,Transportation and material moving occupations,major,2003
GU,Guam,51690.0,4330.0,45980,Management occupations,major,2003
GU,Guam,38830.0,1910.0,35590,Business and financial operations occupations,major,2003
GU,Guam,40780.0,320.0,35730,Computer and mathematical occupations,major,2003
GU,Guam,47860.0,980.0,41590,Architecture and engineering occupations,major,2003
GU,Guam,40200.0,310.0,33560,"Life, physical, and social science occupations",major,2003
GU,Guam,35950.0,360.0,31780,Community and social services occupations,major,2003
GU,Guam,26510.0,420.0,21340,"Arts, design, entertainment, sports, and media occupations",major,2003
GU,Guam,54500.0,1140.0,37970,Healthcare practitioners and technical occupations,major,2003
GU,Guam,23500.0,940.0,22640,Healthcare support occupations,major,2003
GU,Guam,23860.0,2630.0,22380,Protective service occupations,major,2003
GU,Guam,15180.0,5280.0,13620,Food preparation and serving related occupations,major,2003
GU,Guam,16640.0,3360.0,14440,Building and grounds cleaning and maintenance occupations,major,2003
GU,Guam,17700.0,2120.0,15310,Personal care and service occupations,major,2003
GU,Guam,18990.0,5090.0,15260,Sales and related occupations,major,2003
GU,Guam,23640.0,9670.0,21110,Office and administrative support occupations,major,2003
GU,Guam,23940.0,3620.0,23270,Construction and extraction occupations,major,2003
GU,Guam,27310.0,2740.0,24510,"Installation, maintenance, and repair occupations",major,2003
GU,Guam,23440.0,1680.0,20190,Production occupations,major,2003
GU,Guam,21070.0,3360.0,17920,Transportation and material moving occupations,major,2003
PR,Puerto Rico,61040.0,35550.0,51270,Management occupations,major,2003
PR,Puerto Rico,33520.0,36950.0,28670,Business and financial operations occupations,major,2003
PR,Puerto Rico,38670.0,6860.0,34710,Computer and mathematical occupations,major,2003
PR,Puerto Rico,39870.0,11640.0,35530,Architecture and engineering occupations,major,2003
PR,Puerto Rico,32890.0,8700.0,30240,"Life, physical, and social science occupations",major,2003
PR,Puerto Rico,21670.0,13010.0,20930,Community and social services occupations,major,2003
PR,Puerto Rico,51080.0,5040.0,42990,Legal occupations,major,2003
PR,Puerto Rico,25940.0,68700.0,24330,"Education, training, and library occupations",major,2003
PR,Puerto Rico,25660.0,6130.0,21450,"Arts, design, entertainment, sports, and media occupations",major,2003
PR,Puerto Rico,25090.0,39950.0,19600,Healthcare practitioners and technical occupations,major,2003
PR,Puerto Rico,14300.0,11880.0,13540,Healthcare support occupations,major,2003
PR,Puerto Rico,18240.0,62690.0,17650,Protective service occupations,major,2003
PR,Puerto Rico,13560.0,62230.0,13080,Food preparation and serving related occupations,major,2003
PR,Puerto Rico,13950.0,39490.0,13250,Building and grounds cleaning and maintenance occupations,major,2003
PR,Puerto Rico,16390.0,12270.0,14050,Personal care and service occupations,major,2003
PR,Puerto Rico,18410.0,100150.0,13910,Sales and related occupations,major,2003
PR,Puerto Rico,18960.0,182800.0,16320,Office and administrative support occupations,major,2003
PR,Puerto Rico,16080.0,1630.0,15030,"Farming, fishing, and forestry occupations",major,2003
PR,Puerto Rico,16570.0,60680.0,14590,Construction and extraction occupations,major,2003
PR,Puerto Rico,22530.0,35730.0,19510,"Installation, maintenance, and repair occupations",major,2003
PR,Puerto Rico,18520.0,88560.0,15370,Production occupations,major,2003
PR,Puerto Rico,16730.0,70140.0,13970,Transportation and material moving occupations,major,2003
VI,Virgin Islands,60860.0,1710.0,55830,Management occupations,major,2003
VI,Virgin Islands,38360.0,1310.0,35640,Business and financial operations occupations,major,2003
VI,Virgin Islands,41660.0,220.0,39200,Computer and mathematical occupations,major,2003
VI,Virgin Islands,43000.0,250.0,40210,Architecture and engineering occupations,major,2003
VI,Virgin Islands,39760.0,260.0,37070,"Life, physical, and social science occupations",major,2003
VI,Virgin Islands,31510.0,550.0,27990,Community and social services occupations,major,2003
VI,Virgin Islands,63330.0,420.0,52510,Legal occupations,major,2003
VI,Virgin Islands,34450.0,3240.0,30860,"Education, training, and library occupations",major,2003
VI,Virgin Islands,29590.0,430.0,26500,"Arts, design, entertainment, sports, and media occupations",major,2003
VI,Virgin Islands,42790.0,1050.0,34420,Healthcare practitioners and technical occupations,major,2003
VI,Virgin Islands,21300.0,350.0,20970,Healthcare support occupations,major,2003
VI,Virgin Islands,23440.0,2690.0,22180,Protective service occupations,major,2003
VI,Virgin Islands,16510.0,3850.0,14530,Food preparation and serving related occupations,major,2003
VI,Virgin Islands,17000.0,2760.0,16140,Building and grounds cleaning and maintenance occupations,major,2003
VI,Virgin Islands,16700.0,680.0,15630,Personal care and service occupations,major,2003
VI,Virgin Islands,20260.0,4910.0,17480,Sales and related occupations,major,2003
VI,Virgin Islands,22710.0,8150.0,20820,Office and administrative support occupations,major,2003
VI,Virgin Islands,28170.0,2090.0,27430,Construction and extraction occupations,major,2003
VI,Virgin Islands,27150.0,2070.0,25330,"Installation, maintenance, and repair occupations",major,2003
VI,Virgin Islands,35510.0,2000.0,27980,Production occupations,major,2003
VI,Virgin Islands,22820.0,2410.0,20480,Transportation and material moving occupations,major,2003
AL,Alabama,76100.0,81040.0,66000,Management occupations,major,2004
AL,Alabama,50630.0,54370.0,45970,Business and financial operations occupations,major,2004
AL,Alabama,59960.0,29310.0,56570,Computer and mathematical occupations,major,2004
AL,Alabama,59630.0,36220.0,56490,Architecture and engineering occupations,major,2004
AL,Alabama,48920.0,10330.0,42810,"Life, physical, and social science occupations",major,2004
AL,Alabama,32260.0,15910.0,30310,Community and social services occupations,major,2004
AL,Alabama,70900.0,10430.0,54400,Legal occupations,major,2004
AL,Alabama,35590.0,100210.0,36070,"Education, training, and library occupations",major,2004
AL,Alabama,32390.0,16210.0,27160,"Arts, design, entertainment, sports, and media occupations",major,2004
AL,Alabama,47640.0,102370.0,38170,Healthcare practitioners and technical occupations,major,2004
AL,Alabama,19080.0,44760.0,17590,Healthcare support occupations,major,2004
AL,Alabama,27970.0,40740.0,25540,Protective service occupations,major,2004
AL,Alabama,14950.0,146810.0,13710,Food preparation and serving related occupations,major,2004
AL,Alabama,18400.0,54450.0,16680,Building and grounds cleaning and maintenance occupations,major,2004
AL,Alabama,17930.0,31640.0,15100,Personal care and service occupations,major,2004
AL,Alabama,26910.0,194800.0,18680,Sales and related occupations,major,2004
AL,Alabama,25470.0,297120.0,23030,Office and administrative support occupations,major,2004
AL,Alabama,24650.0,7020.0,23420,"Farming, fishing, and forestry occupations",major,2004
AL,Alabama,29500.0,97820.0,27110,Construction and extraction occupations,major,2004
AL,Alabama,33630.0,92170.0,31540,"Installation, maintenance, and repair occupations",major,2004
AL,Alabama,26690.0,206470.0,22920,Production occupations,major,2004
AL,Alabama,24810.0,160150.0,21650,Transportation and material moving occupations,major,2004
AK,Alaska,69000.0,21420.0,62110,Management occupations,major,2004
AK,Alaska,57220.0,8650.0,53750,Business and financial operations occupations,major,2004
AK,Alaska,58140.0,3500.0,57120,Computer and mathematical occupations,major,2004
AK,Alaska,66090.0,6290.0,63730,Architecture and engineering occupations,major,2004
AK,Alaska,52280.0,6690.0,48510,"Life, physical, and social science occupations",major,2004
AK,Alaska,38130.0,5710.0,35570,Community and social services occupations,major,2004
AK,Alaska,66760.0,2440.0,56590,Legal occupations,major,2004
AK,Alaska,43970.0,20180.0,42360,"Education, training, and library occupations",major,2004
AK,Alaska,37710.0,2690.0,33920,"Arts, design, entertainment, sports, and media occupations",major,2004
AK,Alaska,64840.0,12160.0,57810,Healthcare practitioners and technical occupations,major,2004
AK,Alaska,29040.0,6640.0,27930,Healthcare support occupations,major,2004
AK,Alaska,35700.0,9570.0,28520,Protective service occupations,major,2004
AK,Alaska,20600.0,23180.0,18020,Food preparation and serving related occupations,major,2004
AK,Alaska,25010.0,9600.0,22820,Building and grounds cleaning and maintenance occupations,major,2004
AK,Alaska,24910.0,9170.0,21910,Personal care and service occupations,major,2004
AK,Alaska,29790.0,24270.0,23590,Sales and related occupations,major,2004
AK,Alaska,33230.0,51090.0,31490,Office and administrative support occupations,major,2004
AK,Alaska,36150.0,510.0,31930,"Farming, fishing, and forestry occupations",major,2004
AK,Alaska,49660.0,20560.0,47940,Construction and extraction occupations,major,2004
AK,Alaska,47180.0,15400.0,45820,"Installation, maintenance, and repair occupations",major,2004
AK,Alaska,37780.0,10750.0,31800,Production occupations,major,2004
AK,Alaska,41930.0,22660.0,32550,Transportation and material moving occupations,major,2004
AZ,Arizona,76320.0,112630.0,66400,Management occupations,major,2004
AZ,Arizona,52900.0,96390.0,46790,Business and financial operations occupations,major,2004
AZ,Arizona,59320.0,47510.0,56050,Computer and mathematical occupations,major,2004
AZ,Arizona,61190.0,56460.0,57080,Architecture and engineering occupations,major,2004
AZ,Arizona,49330.0,14790.0,43660,"Life, physical, and social science occupations",major,2004
AZ,Arizona,34250.0,24860.0,31880,Community and social services occupations,major,2004
AZ,Arizona,71800.0,15040.0,58120,Legal occupations,major,2004
AZ,Arizona,34540.0,132950.0,32350,"Education, training, and library occupations",major,2004
AZ,Arizona,38100.0,23250.0,32000,"Arts, design, entertainment, sports, and media occupations",major,2004
AZ,Arizona,58500.0,97800.0,46480,Healthcare practitioners and technical occupations,major,2004
AZ,Arizona,23450.0,55070.0,21880,Healthcare support occupations,major,2004
AZ,Arizona,33660.0,62310.0,30880,Protective service occupations,major,2004
AZ,Arizona,16720.0,207660.0,14450,Food preparation and serving related occupations,major,2004
AZ,Arizona,19310.0,83510.0,17270,Building and grounds cleaning and maintenance occupations,major,2004
AZ,Arizona,24140.0,55350.0,19120,Personal care and service occupations,major,2004
AZ,Arizona,30780.0,250540.0,22680,Sales and related occupations,major,2004
AZ,Arizona,28060.0,421190.0,25910,Office and administrative support occupations,major,2004
AZ,Arizona,16570.0,12400.0,14240,"Farming, fishing, and forestry occupations",major,2004
AZ,Arizona,31490.0,167840.0,29470,Construction and extraction occupations,major,2004
AZ,Arizona,35700.0,96290.0,33820,"Installation, maintenance, and repair occupations",major,2004
AZ,Arizona,27260.0,123420.0,24300,Production occupations,major,2004
AZ,Arizona,27820.0,156260.0,22210,Transportation and material moving occupations,major,2004
AR,Arkansas,67450.0,44200.0,58730,Management occupations,major,2004
AR,Arkansas,43750.0,33780.0,39180,Business and financial operations occupations,major,2004
AR,Arkansas,46420.0,13270.0,42730,Computer and mathematical occupations,major,2004
AR,Arkansas,49100.0,11560.0,46000,Architecture and engineering occupations,major,2004
AR,Arkansas,42930.0,6740.0,39450,"Life, physical, and social science occupations",major,2004
AR,Arkansas,29800.0,13180.0,26580,Community and social services occupations,major,2004
AR,Arkansas,53560.0,5500.0,39740,Legal occupations,major,2004
AR,Arkansas,35020.0,65190.0,34030,"Education, training, and library occupations",major,2004
AR,Arkansas,30660.0,8400.0,26750,"Arts, design, entertainment, sports, and media occupations",major,2004
AR,Arkansas,46050.0,62840.0,37780,Healthcare practitioners and technical occupations,major,2004
AR,Arkansas,18660.0,28860.0,17460,Healthcare support occupations,major,2004
AR,Arkansas,27000.0,21610.0,25120,Protective service occupations,major,2004
AR,Arkansas,14780.0,86320.0,13610,Food preparation and serving related occupations,major,2004
AR,Arkansas,17520.0,33760.0,16170,Building and grounds cleaning and maintenance occupations,major,2004
AR,Arkansas,15950.0,18710.0,14110,Personal care and service occupations,major,2004
AR,Arkansas,25780.0,112830.0,18240,Sales and related occupations,major,2004
AR,Arkansas,23880.0,181250.0,21940,Office and administrative support occupations,major,2004
AR,Arkansas,24720.0,6740.0,23520,"Farming, fishing, and forestry occupations",major,2004
AR,Arkansas,28670.0,45660.0,26790,Construction and extraction occupations,major,2004
AR,Arkansas,31440.0,52560.0,29450,"Installation, maintenance, and repair occupations",major,2004
AR,Arkansas,24870.0,156160.0,22740,Production occupations,major,2004
AR,Arkansas,26010.0,116710.0,23010,Transportation and material moving occupations,major,2004
CA,California,97670.0,761280.0,87450,Management occupations,major,2004
CA,California,61660.0,633330.0,55110,Business and financial operations occupations,major,2004
CA,California,74060.0,382290.0,71200,Computer and mathematical occupations,major,2004
CA,California,71390.0,319420.0,68090,Architecture and engineering occupations,major,2004
CA,California,61280.0,147100.0,56360,"Life, physical, and social science occupations",major,2004
CA,California,42300.0,182060.0,38450,Community and social services occupations,major,2004
CA,California,93720.0,107660.0,78910,Legal occupations,major,2004
CA,California,47400.0,902740.0,44190,"Education, training, and library occupations",major,2004
CA,California,52470.0,270730.0,40970,"Arts, design, entertainment, sports, and media occupations",major,2004
CA,California,66910.0,583240.0,59040,Healthcare practitioners and technical occupations,major,2004
CA,California,26230.0,312630.0,24260,Healthcare support occupations,major,2004
CA,California,41950.0,357650.0,36020,Protective service occupations,major,2004
CA,California,19000.0,1148490.0,17040,Food preparation and serving related occupations,major,2004
CA,California,23650.0,466140.0,20540,Building and grounds cleaning and maintenance occupations,major,2004
CA,California,23860.0,308920.0,19350,Personal care and service occupations,major,2004
CA,California,36100.0,1486760.0,24670,Sales and related occupations,major,2004
CA,California,31960.0,2696610.0,29660,Office and administrative support occupations,major,2004
CA,California,18310.0,172830.0,16560,"Farming, fishing, and forestry occupations",major,2004
CA,California,42650.0,735980.0,40270,Construction and extraction occupations,major,2004
CA,California,40470.0,504250.0,38820,"Installation, maintenance, and repair occupations",major,2004
CA,California,28000.0,1015270.0,23100,Production occupations,major,2004
CA,California,27950.0,1039240.0,23000,Transportation and material moving occupations,major,2004
CO,Colorado,87530.0,104680.0,77960,Management occupations,major,2004
CO,Colorado,58640.0,100410.0,52670,Business and financial operations occupations,major,2004
CO,Colorado,69410.0,76390.0,68220,Computer and mathematical occupations,major,2004
CO,Colorado,64750.0,53000.0,60550,Architecture and engineering occupations,major,2004
CO,Colorado,57820.0,25260.0,52530,"Life, physical, and social science occupations",major,2004
CO,Colorado,37520.0,23660.0,34600,Community and social services occupations,major,2004
CO,Colorado,73340.0,14440.0,59840,Legal occupations,major,2004
CO,Colorado,40110.0,116920.0,36260,"Education, training, and library occupations",major,2004
CO,Colorado,43620.0,29400.0,37370,"Arts, design, entertainment, sports, and media occupations",major,2004
CO,Colorado,59750.0,90400.0,49670,Healthcare practitioners and technical occupations,major,2004
CO,Colorado,26210.0,39840.0,24670,Healthcare support occupations,major,2004
CO,Colorado,40080.0,44720.0,37760,Protective service occupations,major,2004
CO,Colorado,18520.0,191810.0,16870,Food preparation and serving related occupations,major,2004
CO,Colorado,22130.0,73140.0,20190,Building and grounds cleaning and maintenance occupations,major,2004
CO,Colorado,22690.0,54030.0,19800,Personal care and service occupations,major,2004
CO,Colorado,34670.0,243150.0,24850,Sales and related occupations,major,2004
CO,Colorado,30840.0,374210.0,29270,Office and administrative support occupations,major,2004
CO,Colorado,22440.0,4610.0,18270,"Farming, fishing, and forestry occupations",major,2004
CO,Colorado,37170.0,124340.0,35090,Construction and extraction occupations,major,2004
CO,Colorado,39090.0,85650.0,37610,"Installation, maintenance, and repair occupations",major,2004
CO,Colorado,30370.0,106430.0,27330,Production occupations,major,2004
CO,Colorado,30230.0,134150.0,26920,Transportation and material moving occupations,major,2004
CT,Connecticut,103990.0,79870.0,92910,Management occupations,major,2004
CT,Connecticut,65630.0,84410.0,57530,Business and financial operations occupations,major,2004
CT,Connecticut,69890.0,46290.0,66670,Computer and mathematical occupations,major,2004
CT,Connecticut,62710.0,37290.0,60530,Architecture and engineering occupations,major,2004
CT,Connecticut,64170.0,16970.0,58300,"Life, physical, and social science occupations",major,2004
CT,Connecticut,41820.0,30120.0,39330,Community and social services occupations,major,2004
CT,Connecticut,84790.0,12560.0,68120,Legal occupations,major,2004
CT,Connecticut,48040.0,119500.0,44890,"Education, training, and library occupations",major,2004
CT,Connecticut,47400.0,20790.0,42250,"Arts, design, entertainment, sports, and media occupations",major,2004
CT,Connecticut,63210.0,87220.0,54960,Healthcare practitioners and technical occupations,major,2004
CT,Connecticut,27710.0,47460.0,26650,Healthcare support occupations,major,2004
CT,Connecticut,38500.0,37190.0,38060,Protective service occupations,major,2004
CT,Connecticut,21470.0,114910.0,18340,Food preparation and serving related occupations,major,2004
CT,Connecticut,25850.0,58780.0,22740,Building and grounds cleaning and maintenance occupations,major,2004
CT,Connecticut,25320.0,44340.0,20900,Personal care and service occupations,major,2004
CT,Connecticut,40510.0,174990.0,26250,Sales and related occupations,major,2004
CT,Connecticut,33280.0,298440.0,31610,Office and administrative support occupations,major,2004
CT,Connecticut,24580.0,1470.0,21100,"Farming, fishing, and forestry occupations",major,2004
CT,Connecticut,44350.0,54650.0,43150,Construction and extraction occupations,major,2004
CT,Connecticut,41670.0,54820.0,40120,"Installation, maintenance, and repair occupations",major,2004
CT,Connecticut,33390.0,117330.0,30710,Production occupations,major,2004
CT,Connecticut,29460.0,93960.0,26680,Transportation and material moving occupations,major,2004
DE,Delaware,82550.0,23810.0,70780,Management occupations,major,2004
DE,Delaware,57650.0,17350.0,50770,Business and financial operations occupations,major,2004
DE,Delaware,68630.0,10570.0,65930,Computer and mathematical occupations,major,2004
DE,Delaware,61560.0,6090.0,60150,Architecture and engineering occupations,major,2004
DE,Delaware,58280.0,6380.0,53720,"Life, physical, and social science occupations",major,2004
DE,Delaware,36130.0,6570.0,33920,Community and social services occupations,major,2004
DE,Delaware,81210.0,3940.0,58780,Legal occupations,major,2004
DE,Delaware,45770.0,20670.0,43740,"Education, training, and library occupations",major,2004
DE,Delaware,37910.0,3100.0,32830,"Arts, design, entertainment, sports, and media occupations",major,2004
DE,Delaware,61300.0,20160.0,52210,Healthcare practitioners and technical occupations,major,2004
DE,Delaware,25140.0,8670.0,24370,Healthcare support occupations,major,2004
DE,Delaware,32170.0,7660.0,27620,Protective service occupations,major,2004
DE,Delaware,18690.0,32330.0,16920,Food preparation and serving related occupations,major,2004
DE,Delaware,21580.0,14810.0,19450,Building and grounds cleaning and maintenance occupations,major,2004
DE,Delaware,22630.0,7130.0,19330,Personal care and service occupations,major,2004
DE,Delaware,30780.0,43790.0,21620,Sales and related occupations,major,2004
DE,Delaware,30150.0,85130.0,28200,Office and administrative support occupations,major,2004
DE,Delaware,24410.0,810.0,22960,"Farming, fishing, and forestry occupations",major,2004
DE,Delaware,37820.0,21070.0,34520,Construction and extraction occupations,major,2004
DE,Delaware,40110.0,17560.0,39240,"Installation, maintenance, and repair occupations",major,2004
DE,Delaware,30080.0,26560.0,25960,Production occupations,major,2004
DE,Delaware,28500.0,24090.0,26590,Transportation and material moving occupations,major,2004
DC,District of Columbia,94590.0,61130.0,91840,Management occupations,major,2004
DC,District of Columbia,72700.0,60710.0,70330,Business and financial operations occupations,major,2004
DC,District of Columbia,71670.0,29840.0,70970,Computer and mathematical occupations,major,2004
DC,District of Columbia,75160.0,13350.0,73200,Architecture and engineering occupations,major,2004
DC,District of Columbia,79310.0,20520.0,78190,"Life, physical, and social science occupations",major,2004
DC,District of Columbia,40490.0,8230.0,38160,Community and social services occupations,major,2004
DC,District of Columbia,105440.0,36230.0,101880,Legal occupations,major,2004
DC,District of Columbia,52430.0,26720.0,45530,"Education, training, and library occupations",major,2004
DC,District of Columbia,60120.0,20200.0,55180,"Arts, design, entertainment, sports, and media occupations",major,2004
DC,District of Columbia,63540.0,26820.0,53070,Healthcare practitioners and technical occupations,major,2004
DC,District of Columbia,26600.0,7230.0,25330,Healthcare support occupations,major,2004
DC,District of Columbia,44960.0,22560.0,37020,Protective service occupations,major,2004
DC,District of Columbia,20880.0,37460.0,18620,Food preparation and serving related occupations,major,2004
DC,District of Columbia,23170.0,23550.0,23130,Building and grounds cleaning and maintenance occupations,major,2004
DC,District of Columbia,26680.0,7870.0,22130,Personal care and service occupations,major,2004
DC,District of Columbia,35870.0,31830.0,27020,Sales and related occupations,major,2004
DC,District of Columbia,42560.0,125460.0,36060,Office and administrative support occupations,major,2004
DC,District of Columbia,46080.0,110.0,42210,"Farming, fishing, and forestry occupations",major,2004
DC,District of Columbia,40410.0,11560.0,39050,Construction and extraction occupations,major,2004
DC,District of Columbia,41490.0,8110.0,40650,"Installation, maintenance, and repair occupations",major,2004
DC,District of Columbia,38130.0,8480.0,35210,Production occupations,major,2004
DC,District of Columbia,28970.0,15170.0,24850,Transportation and material moving occupations,major,2004
FL,Florida,84740.0,253960.0,72300,Management occupations,major,2004
FL,Florida,52940.0,281670.0,45900,Business and financial operations occupations,major,2004
FL,Florida,57960.0,144050.0,54360,Computer and mathematical occupations,major,2004
FL,Florida,55430.0,113390.0,51220,Architecture and engineering occupations,major,2004
FL,Florida,48890.0,46750.0,42450,"Life, physical, and social science occupations",major,2004
FL,Florida,34940.0,90970.0,32240,Community and social services occupations,major,2004
FL,Florida,75930.0,64000.0,54470,Legal occupations,major,2004
FL,Florida,40550.0,356120.0,36650,"Education, training, and library occupations",major,2004
FL,Florida,39430.0,85400.0,34300,"Arts, design, entertainment, sports, and media occupations",major,2004
FL,Florida,54980.0,374940.0,44660,Healthcare practitioners and technical occupations,major,2004
FL,Florida,22180.0,180680.0,20970,Healthcare support occupations,major,2004
FL,Florida,32590.0,206460.0,29590,Protective service occupations,major,2004
FL,Florida,17040.0,684760.0,14790,Food preparation and serving related occupations,major,2004
FL,Florida,19480.0,293840.0,17760,Building and grounds cleaning and maintenance occupations,major,2004
FL,Florida,20540.0,191010.0,17160,Personal care and service occupations,major,2004
FL,Florida,32560.0,879460.0,22460,Sales and related occupations,major,2004
FL,Florida,26760.0,1413850.0,24710,Office and administrative support occupations,major,2004
FL,Florida,16150.0,50930.0,14570,"Farming, fishing, and forestry occupations",major,2004
FL,Florida,30060.0,429160.0,27760,Construction and extraction occupations,major,2004
FL,Florida,33730.0,295780.0,31700,"Installation, maintenance, and repair occupations",major,2004
